Pt1,Pd1,Fe1,Co1,Ni1,Cu1,Ru1,Rh1,Ag1,Au1,Pt2,Pd2,Fe2,Co2,Ni2,Cu2,Ru2,Rh2,Ag2,Au2,Pt3,Pd3,Fe3,Co3,Ni3,Cu3,Ru3,Rh3,Ag3,Au3,E_ads
0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,-0.627949
0,0,0,0,0,0,0,1,0,0,1,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-0.604849
0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,-0.696009
0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,-0.446039
1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,-0.331669
0,0,0,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,-0.638799
0,1,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,-0.517679
0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,-0.713779
0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,-0.500149
0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,1,-0.106459
0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,-0.392939
0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,-0.080179
0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,-0.436229
1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,-0.219699
0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,-0.739479
0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,-0.214439
0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,-0.073629
0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,0,-0.314549
0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,-0.160649
0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,-0.368309
0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,-0.267309
0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,-0.287309
1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,-0.379169
0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,-0.688309
0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,-0.259799
0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,-0.266569
0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,1,0,-0.332109
0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,2,0,1,0,0,0,1,0,0,0,1,-0.295139
0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0,-0.383139
0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,-0.287139
0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,-0.482139
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,1,2,0,0,0,0,0,0,0,0,-0.453139
0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,-0.555139
0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,-0.440139
0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.162159
0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,0,1,0,-0.507829
0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,-0.306869
0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,-0.348889
0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,-0.254779
0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,-0.458169
1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,-0.357829
0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,-0.734549
0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,-0.395069
0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,-0.274899
0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1,0,-0.477429
0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,-0.164109
0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-0.247089
0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,-0.215809
0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,-0.433929
1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,-0.228461
0,0,0,0,0,1,0,0,0,0,1,2,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,-0.480779
0,1,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,-0.241461
0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,-0.714179
0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,-0.248049
0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,-0.520109
0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,0,0,0,-0.643109
0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.587739
0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,-0.403309
1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,-0.340259
0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,-0.545699
0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,-0.407669
0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,-0.550789
0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,0,0,1,0,0,0,1,0,1,0,0,0,-0.404359
0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,1,-0.287919
0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,-0.644519
0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,-0.241479
0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,-0.395619
1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,-0.346499
0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,-0.638479
0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,-0.391749
0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,-0.253919
0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,2,1,0,0,1,0,0,1,0,0,0,-0.435709
0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,2,0,1,0,0,1,0,0,0,0,1,-0.323749
0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,-0.658499
0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,-0.262779
0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,-0.411719
1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,-0.326909
0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,-0.604299
0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,-0.435399
0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,-0.276539
0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,1,0,0,0,1,0,1,0,0,0,-0.482279
0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,-0.574009
0,0,0,0,0,0,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,-0.657929
0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.636599
0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,-0.343339
1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,-0.317119
0,0,0,0,0,1,0,0,0,0,1,2,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,-0.415059
0,1,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,-0.466889
0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,-0.687119
0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,-0.409039
0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,-0.540659
0,0,0,0,0,0,1,0,0,0,1,2,0,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,-0.679199
0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.599509
0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,-0.389839
1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,-0.335239
0,0,0,0,0,1,0,0,0,0,1,2,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,-0.423259
0,1,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,-0.460479
0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,-0.671519
0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,-0.397659
0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,-0.508859
0,0,0,0,0,0,1,0,0,0,1,2,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,-0.685039
0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.621539
0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,-0.404329
1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,-0.362089
0,0,0,0,0,1,0,0,0,0,1,2,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,-0.473119
0,1,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,-0.470539
0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,-0.540999
0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,-0.479369
0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,-0.763359
0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,-0.979699
0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,-0.364419
0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,-0.868219
1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,-0.778909
0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,-1.062849
0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,-0.884349
0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,-0.309529
0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,-0.868549
0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,-0.555859
0,0,0,0,0,0,0,1,0,0,1,2,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.576049
0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,-0.600109
0,1,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,-0.364969
1,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,-0.344189
0,0,0,0,1,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,-0.523889
0,1,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,-0.391269
0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,-0.624479
0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,-0.407629
0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,-0.539909
0,0,0,0,0,0,0,1,0,0,1,2,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.508789
0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,-0.592169
0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,-0.418039
1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,-0.390409
0,0,0,0,0,1,0,0,0,0,1,2,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,-0.469559
0,1,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,-0.263379
0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,-0.556789
0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,-0.473469
0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,-0.500539
0,0,0,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,-0.342569
0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,-0.587259
0,1,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,-0.393719
1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,-0.317559
0,0,0,0,1,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,-0.714059
0,1,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,-0.475319
0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,-0.661039
0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,-0.449329